Lon.x,Lat.x,nameX,Lon.y,Lat.y,nameY,distance
-149.850116,-17.58796058,Lag_1,-149.8414527,-17.58605689,Atiha Stream Mouth,943.4267283993859
-149.8700014,-17.5752091,Lag_10,-149.873026,-17.56010519,Haapiti Stream Mouth,1711.7263266774112
-149.9101318,-17.53432151,Lag_100,-149.9039516,-17.53500803,Nuurua Stream Mouth,660.4462920556952
-149.9121106,-17.53755852,Lag_101,-149.9039516,-17.53500803,Nuurua Stream Mouth,911.3974893819495
-149.9181631,-17.5292844,Lag_102,-149.9039516,-17.53500803,Nuurua Stream Mouth,1637.5660501574257
-149.9140272,-17.52734936,Lag_103,-149.9039516,-17.53500803,Nuurua Stream Mouth,1367.7428367942732
-149.9107429,-17.52568094,Lag_104,-149.9039516,-17.53500803,Nuurua Stream Mouth,1264.0122533560545
-149.9206248,-17.52007479,Lag_105,-149.9039516,-17.53500803,Nuurua Stream Mouth,2428.15111048787
-149.9170567,-17.51944682,Lag_106,-149.9039516,-17.53500803,Nuurua Stream Mouth,2221.7047759887214
-149.9132726,-17.51885715,Lag_107,-149.9039516,-17.53500803,Nuurua Stream Mouth,2052.18438511166
-149.9225916,-17.51272805,Lag_108,-149.9039516,-17.53500803,Nuurua Stream Mouth,3172.793475480729
-149.919454,-17.51138762,Lag_109,-149.9039516,-17.53500803,Nuurua Stream Mouth,3101.923631244221
-149.8661581,-17.5727299,Lag_11,-149.8532881,-17.57848833,Vaiane Stream Mouth,1508.7518739063485
-149.9159157,-17.51055999,Lag_110,-149.9039516,-17.53500803,Nuurua Stream Mouth,3003.2967495967905
-149.9240371,-17.50318299,Lag_111,-149.89148,-17.4919218,Moana Stream Mouth,3676.8456984937006
-149.920637,-17.50348139,Lag_112,-149.89148,-17.4919218,Moana Stream Mouth,3352.365958025148
-149.91747,-17.50287202,Lag_113,-149.89148,-17.4919218,Moana Stream Mouth,3016.5844760120617
-149.9235728,-17.4954558,Lag_114,-149.89148,-17.4919218,Moana Stream Mouth,3429.959359730986
-149.9197109,-17.49504173,Lag_115,-149.89148,-17.4919218,Moana Stream Mouth,3017.3604067505303
-149.9146039,-17.49474971,Lag_116,-149.89148,-17.4919218,Moana Stream Mouth,2475.191963995804
-149.9111011,-17.49064844,Lag_117,-149.89148,-17.4919218,Moana Stream Mouth,2088.035815543824
-149.9067514,-17.48914783,Lag_118,-149.89148,-17.4919218,Moana Stream Mouth,1650.5507715979002
-149.9077934,-17.48591677,Lag_119,-149.89148,-17.4919218,Moana Stream Mouth,1856.576352567943
-149.848889,-17.592257,Lag_12,-149.8414527,-17.58605689,Atiha Stream Mouth,1048.3562365391267
-149.9022525,-17.48790848,Lag_120,-149.89148,-17.4919218,Moana Stream Mouth,1227.908971395589
-149.8968575,-17.48853084,Lag_121,-149.89148,-17.4919218,Moana Stream Mouth,684.4483999969616
-149.8962351,-17.48485495,Lag_122,-149.89148,-17.4919218,Moana Stream Mouth,934.7483660964618
-149.8921487,-17.48842556,Lag_123,-149.89148,-17.4919218,Moana Stream Mouth,395.6223889549167
-149.8922813,-17.48469737,Lag_124,-149.89148,-17.4919218,Moana Stream Mouth,808.7074547167006
-149.8826645,-17.49019641,Lag_125,-149.887804,-17.490905,Small Stream 1 Mouth,551.34687932678
-149.8794897,-17.49179923,Lag_126,-149.8720935,-17.49203467,Papetoai Stream Mouth,785.7066494138895
-149.8789846,-17.4889724,Lag_127,-149.8720935,-17.49203467,Papetoai Stream Mouth,807.1644421697305
-149.8765044,-17.48683493,Lag_128,-149.8720935,-17.49203467,Papetoai Stream Mouth,744.5609753479514
-149.8726504,-17.48972761,Lag_129,-149.8720935,-17.49203467,Papetoai Stream Mouth,263.5392935840175
-149.8705731,-17.5676907,Lag_13,-149.873026,-17.56010519,Haapiti Stream Mouth,883.6325627211393
-149.8742172,-17.48467089,Lag_130,-149.8720935,-17.49203467,Papetoai Stream Mouth,850.1782383682959
-149.8667564,-17.48809573,Lag_131,-149.8720935,-17.49203467,Papetoai Stream Mouth,716.4948496565835
-149.8709693,-17.48744111,Lag_132,-149.8720935,-17.49203467,Papetoai Stream Mouth,525.0985193065537
-149.8868992,-17.49028584,Lag_133,-149.887804,-17.490905,Small Stream 1 Mouth,118.23327090542831
-149.8870074,-17.48732954,Lag_134,-149.887804,-17.490905,Small Stream 1 Mouth,406.90546944099714
-149.8861285,-17.48452814,Lag_135,-149.887804,-17.490905,Small Stream 1 Mouth,731.8199674298588
-149.8805744,-17.48690316,Lag_136,-149.887804,-17.490905,Small Stream 1 Mouth,887.4994357921177
-149.8798111,-17.48379691,Lag_137,-149.887804,-17.490905,Small Stream 1 Mouth,1160.3027304694485
-149.8746473,-17.49209605,Lag_138,-149.8720935,-17.49203467,Papetoai Stream Mouth,271.2279290468911
-149.8681188,-17.49065096,Lag_139,-149.8720935,-17.49203467,Papetoai Stream Mouth,449.2361820941362
-149.8662589,-17.58281082,Lag_14,-149.8532881,-17.57848833,Vaiane Stream Mouth,1458.1425073562757
-149.8626436,-17.49716361,Lag_140,-149.8720935,-17.49203467,Papetoai Stream Mouth,1154.3812228145825
-149.8673732,-17.49316067,Lag_141,-149.8720935,-17.49203467,Papetoai Stream Mouth,516.599218721965
-149.8519205,-17.49376006,Lag_142,-149.8720935,-17.49203467,Papetoai Stream Mouth,2150.3911894569806
-149.8544175,-17.49082932,Lag_143,-149.8720935,-17.49203467,Papetoai Stream Mouth,1881.4919924594403
-149.8550006,-17.48895002,Lag_144,-149.8720935,-17.49203467,Papetoai Stream Mouth,1847.0019553808143
-149.8494205,-17.48966591,Lag_145,-149.8319658,-17.48591974,Piahena River Mouth,1899.5828765003864
-149.8469882,-17.48545652,Lag_146,-149.8319658,-17.48591974,Piahena River Mouth,1595.8463026640763
-149.8498651,-17.48168911,Lag_147,-149.8319658,-17.48591974,Piahena River Mouth,1957.972232306554
-149.8490207,-17.48386731,Lag_148,-149.8319658,-17.48591974,Piahena River Mouth,1825.179604621758
-149.8520296,-17.48650493,Lag_149,-149.8319658,-17.48591974,Piahena River Mouth,2131.2765264830823
-149.8535032,-17.58035241,Lag_15,-149.8532881,-17.57848833,Vaiane Stream Mouth,208.76015891221152
-149.8420147,-17.48430225,Lag_150,-149.8319658,-17.48591974,Piahena River Mouth,1082.0384036063042
-149.8423604,-17.47821942,Lag_151,-149.8319658,-17.48591974,Piahena River Mouth,1397.456130167377
-149.8422762,-17.48009529,Lag_152,-149.8319658,-17.48591974,Piahena River Mouth,1272.3295734607752
-149.8339808,-17.4784169,Lag_153,-149.8319658,-17.48591974,Piahena River Mouth,862.1794513838406
-149.8365316,-17.4797321,Lag_154,-149.8319658,-17.48591974,Piahena River Mouth,842.2993135094797
-149.8347928,-17.48486702,Lag_155,-149.8319658,-17.48591974,Piahena River Mouth,322.22434839705704
-149.8312727,-17.48502921,Lag_156,-149.8319658,-17.48591974,Piahena River Mouth,123.46242735063626
-149.8301379,-17.48115082,Lag_157,-149.8319658,-17.48591974,Piahena River Mouth,565.2382453844481
-149.8275155,-17.48467013,Lag_158,-149.8319658,-17.48591974,Piahena River Mouth,492.56512907486984
-149.8250571,-17.48655573,Lag_159,-149.8319658,-17.48591974,Piahena River Mouth,736.9421236699958
-149.8426075,-17.5869498,Lag_16,-149.8414527,-17.58605689,Atiha Stream Mouth,157.78759046763028
-149.8262099,-17.48204526,Lag_160,-149.8319658,-17.48591974,Piahena River Mouth,748.0099010969728
-149.7768527,-17.47370895,Lag_161,-149.7781411,-17.47584941,Golf Course Stream Mouth,274.75537724166094
-149.780356,-17.47599625,Lag_162,-149.7781411,-17.47584941,Golf Course Stream Mouth,235.74843772545475
-149.7866539,-17.47785238,Lag_163,-149.7781411,-17.47584941,Golf Course Stream Mouth,930.9904863229841
-149.790986,-17.47880909,Lag_164,-149.8006746,-17.48123619,Maharepa Stream Mouth,1063.614144363036
-149.7961288,-17.4796057,Lag_165,-149.8006746,-17.48123619,Maharepa Stream Mouth,515.6663857719961
-149.7867232,-17.47499012,Lag_166,-149.7781411,-17.47584941,Golf Course Stream Mouth,916.2681891336714
-149.7810294,-17.47282634,Lag_167,-149.7781411,-17.47584941,Golf Course Stream Mouth,455.3093596541353
-149.786553,-17.47187021,Lag_168,-149.7781411,-17.47584941,Golf Course Stream Mouth,997.0038136110671
-149.7937432,-17.47434254,Lag_169,-149.8006746,-17.48123619,Maharepa Stream Mouth,1063.2790905933182
-149.8390346,-17.59328585,Lag_17,-149.8414527,-17.58605689,Atiha Stream Mouth,844.6434263413189
-149.7950122,-17.47682031,Lag_170,-149.8006746,-17.48123619,Maharepa Stream Mouth,776.6100716547096
-149.7901163,-17.47496934,Lag_171,-149.7781411,-17.47584941,Golf Course Stream Mouth,1275.3149294315235
-149.799661,-17.4804404,Lag_172,-149.8006746,-17.48123619,Maharepa Stream Mouth,139.39242579804252
-149.7973693,-17.4760501,Lag_173,-149.8006746,-17.48123619,Maharepa Stream Mouth,675.6184262561452
-149.7778578,-17.4725779,Lag_174,-149.7781411,-17.47584941,Golf Course Stream Mouth,365.4230777710353
-149.8048369,-17.48082167,Lag_175,-149.8006746,-17.48123619,Maharepa Stream Mouth,444.3486553633448
-149.8138506,-17.48256359,Lag_176,-149.8006746,-17.48123619,Maharepa Stream Mouth,1406.781433889502
-149.8168138,-17.48383638,Lag_177,-149.8319658,-17.48591974,Piahena River Mouth,1625.4110167023787
-149.8183929,-17.48728956,Lag_178,-149.8319658,-17.48591974,Piahena River Mouth,1449.1492679792998
-149.8175988,-17.48120195,Lag_179,-149.8319658,-17.48591974,Piahena River Mouth,1613.3175158508107
-149.8408034,-17.59567268,Lag_18,-149.8414527,-17.58605689,Atiha Stream Mouth,1072.6399874940123
-149.8212362,-17.47707864,Lag_180,-149.8319658,-17.48591974,Piahena River Mouth,1505.493446784504
-149.8148865,-17.47477999,Lag_181,-149.8006746,-17.48123619,Maharepa Stream Mouth,1671.4294355313352
-149.8135389,-17.47831405,Lag_182,-149.8006746,-17.48123619,Maharepa Stream Mouth,1404.119308103587
-149.8136512,-17.48034675,Lag_183,-149.8006746,-17.48123619,Maharepa Stream Mouth,1381.388891449127
-149.806126,-17.4749949,Lag_184,-149.8006746,-17.48123619,Maharepa Stream Mouth,904.3005900396319
-149.8066267,-17.47691201,Lag_185,-149.8006746,-17.48123619,Maharepa Stream Mouth,794.4340222840543
-149.8025034,-17.47711502,Lag_186,-149.8006746,-17.48123619,Maharepa Stream Mouth,498.1696419125899
-149.8063396,-17.47899399,Lag_187,-149.8006746,-17.48123619,Maharepa Stream Mouth,651.234857086036
-149.8172428,-17.47806804,Lag_188,-149.8319658,-17.48591974,Piahena River Mouth,1791.0128746705304
-149.83776,-17.597163,Lag_19,-149.8414527,-17.58605689,Atiha Stream Mouth,1296.9373013001675
-149.8513141,-17.59042955,Lag_2,-149.8414527,-17.58605689,Atiha Stream Mouth,1154.1194986919354
-149.8303391,-17.60238365,Lag_20,-149.8414527,-17.58605689,Atiha Stream Mouth,2166.558625177568
-149.891764,-17.490438,Lag_200,-149.89148,-17.4919218,Moana Stream Mouth,167.90552879588495
-149.78965,-17.58183,Lag_201,-149.7959421,-17.57116685,Haumi Stream Mouth,1361.9382683466804
-149.80488,-17.58791,Lag_202,-149.8071371,-17.58631437,Maatea Stream Mouth,298.1911971298465
-149.917159,-17.506374,Lag_203,-149.89148,-17.4919218,Moana Stream Mouth,3165.579064156818
-149.768175,-17.509635,Lag_204,-149.7692357,-17.508897609999998,Teavaro Stream Mouth,139.34912749239894
-149.787945,-17.550942,Lag_205,-149.7902061,-17.5507052,Afareaitu Stream Mouth,241.43100277742022
-149.792587,-17.565943999999998,Lag_206,-149.7959421,-17.57116685,Haumi Stream Mouth,681.7738951861522
-149.795439,-17.572476,Lag_207,-149.7959421,-17.57116685,Haumi Stream Mouth,155.20643289278945
-149.884951,-17.550152,Lag_208,-149.873026,-17.56010519,Haapiti Stream Mouth,1682.1190191767457
-149.883065,-17.552798,Lag_209,-149.873026,-17.56010519,Haapiti Stream Mouth,1340.4939726385371
-149.826245,-17.59344385,Lag_21,-149.8414527,-17.58605689,Atiha Stream Mouth,1811.1935370567824
-149.80759,-17.60255,Lag_22,-149.8071371,-17.58631437,Maatea Stream Mouth,1807.980895767139
-149.8151988,-17.5924521,Lag_23,-149.8071371,-17.58631437,Maatea Stream Mouth,1094.8299239191404
-149.81353,-17.59378,Lag_24,-149.8071371,-17.58631437,Maatea Stream Mouth,1072.78914270005
-149.80741,-17.59514,Lag_25,-149.8071371,-17.58631437,Maatea Stream Mouth,982.8913274805906
-149.80337,-17.59317,Lag_26,-149.8071371,-17.58631437,Maatea Stream Mouth,861.5202096364859
-149.79826,-17.59616,Lag_27,-149.8071371,-17.58631437,Maatea Stream Mouth,1445.189071118437
-149.8193942,-17.59882126,Lag_28,-149.8071371,-17.58631437,Maatea Stream Mouth,1905.2690149663235
-149.8283843,-17.59742064,Lag_29,-149.8414527,-17.58605689,Atiha Stream Mouth,1877.0387556864207
-149.861271,-17.59052703,Lag_3,-149.8532881,-17.57848833,Vaiane Stream Mouth,1585.435555301667
-149.80912,-17.59746,Lag_30,-149.8071371,-17.58631437,Maatea Stream Mouth,1258.4411084916796
-149.80624,-17.59731,Lag_31,-149.8071371,-17.58631437,Maatea Stream Mouth,1227.7240564937504
-149.80159,-17.59475,Lag_32,-149.8071371,-17.58631437,Maatea Stream Mouth,1108.2851729427514
-149.79184,-17.58631,Lag_33,-149.8071371,-17.58631437,Maatea Stream Mouth,1623.2784244973914
-149.79438,-17.58031,Lag_34,-149.7959421,-17.57116685,Haumi Stream Mouth,1031.2226062110265
-149.7985487,-17.58383224,Lag_35,-149.8071371,-17.58631437,Maatea Stream Mouth,952.343964100957
-149.7967,-17.57891,Lag_36,-149.7959421,-17.57116685,Haumi Stream Mouth,865.707935431303
-149.7942877,-17.57349375,Lag_37,-149.7959421,-17.57116685,Haumi Stream Mouth,312.92507957383816
-149.7925031,-17.56786983,Lag_38,-149.7959421,-17.57116685,Haumi Stream Mouth,517.5984985885639
-149.7883265,-17.57239278,Lag_39,-149.7959421,-17.57116685,Haumi Stream Mouth,819.648408336243
-149.8584346,-17.58473849,Lag_4,-149.8532881,-17.57848833,Vaiane Stream Mouth,884.512109070582
-149.7885266,-17.57566885,Lag_40,-149.7959421,-17.57116685,Haumi Stream Mouth,932.9926365141556
-149.7873946,-17.57019438,Lag_41,-149.7959421,-17.57116685,Haumi Stream Mouth,913.5479605995439
-149.7896573,-17.56927254,Lag_42,-149.7959421,-17.57116685,Haumi Stream Mouth,699.5230037988158
-149.7830339,-17.56248479,Lag_43,-149.7902061,-17.5507052,Afareaitu Stream Mouth,1516.2293200917848
-149.7854925,-17.56150126,Lag_44,-149.7902061,-17.5507052,Afareaitu Stream Mouth,1301.778513192896
-149.7891006,-17.56024699,Lag_45,-149.7902061,-17.5507052,Afareaitu Stream Mouth,1068.6479616611623
-149.7809429,-17.55798848,Lag_46,-149.7902061,-17.5507052,Afareaitu Stream Mouth,1274.3397877696473
-149.8546619,-17.59313297,Lag_47,-149.8414527,-17.58605689,Atiha Stream Mouth,1607.8619115902584
-149.8171821,-17.59491873,Lag_48,-149.8071371,-17.58631437,Maatea Stream Mouth,1433.0469574943968
-149.8610173,-17.57717784,Lag_49,-149.8532881,-17.57848833,Vaiane Stream Mouth,833.1079718941002
-149.8672942,-17.58509698,Lag_5,-149.8532881,-17.57848833,Vaiane Stream Mouth,1658.4197899131632
-149.80085,-17.601,Lag_50,-149.8071371,-17.58631437,Maatea Stream Mouth,1765.6828048910181
-149.7891155,-17.55479179,Lag_51,-149.7902061,-17.5507052,Afareaitu Stream Mouth,469.41260974617796
-149.780663,-17.54829758,Lag_52,-149.7902061,-17.5507052,Afareaitu Stream Mouth,1047.747810488516
-149.7782538,-17.54553717,Lag_53,-149.7902061,-17.5507052,Afareaitu Stream Mouth,1392.9594596639884
-149.773951,-17.54048841,Lag_54,-149.7902061,-17.5507052,Afareaitu Stream Mouth,2066.462043281674
-149.7747479,-17.5438892,Lag_55,-149.7902061,-17.5507052,Afareaitu Stream Mouth,1807.6762846238707
-149.7703816,-17.54065563,Lag_56,-149.7902061,-17.5507052,Afareaitu Stream Mouth,2383.0877874224857
-149.7665665,-17.54170898,Lag_57,-149.7813362,-17.5219667,Vaiare Stream Mouth,2699.5989181363398
-149.7732428,-17.54808988,Lag_58,-149.7902061,-17.5507052,Afareaitu Stream Mouth,1823.8439196964184
-149.7706065,-17.54354672,Lag_59,-149.7902061,-17.5507052,Afareaitu Stream Mouth,2227.6998214715754
-149.8731899,-17.57797027,Lag_6,-149.873026,-17.56010519,Haapiti Stream Mouth,1988.8076752095499
-149.7773983,-17.55227462,Lag_60,-149.7902061,-17.5507052,Afareaitu Stream Mouth,1370.5641530541734
-149.7726642,-17.5352866,Lag_61,-149.7813362,-17.5219667,Vaiare Stream Mouth,1745.273585298906
-149.7679931,-17.53598314,Lag_62,-149.7813362,-17.5219667,Vaiare Stream Mouth,2107.2879413136957
-149.7629378,-17.53573436,Lag_63,-149.7813362,-17.5219667,Vaiare Stream Mouth,2482.5572490146164
-149.7673331,-17.52938876,Lag_64,-149.7813362,-17.5219667,Vaiare Stream Mouth,1700.6485122777801
-149.7649524,-17.52484376,Lag_65,-149.7813362,-17.5219667,Vaiare Stream Mouth,1768.4425943991398
-149.773503,-17.52840162,Lag_66,-149.7813362,-17.5219667,Vaiare Stream Mouth,1097.5187915207161
-149.7793687,-17.5226684,Lag_67,-149.7813362,-17.5219667,Vaiare Stream Mouth,222.98762553858296
-149.7738316,-17.52006574,Lag_68,-149.7813362,-17.5219667,Vaiare Stream Mouth,824.2772326599207
-149.7687791,-17.51597897,Lag_69,-149.7692357,-17.508897609999998,Teavaro Stream Mouth,789.7822907173302
-149.8622209,-17.57851023,Lag_7,-149.8532881,-17.57848833,Vaiane Stream Mouth,947.9636920766113
-149.7665881,-17.51029755,Lag_70,-149.7692357,-17.508897609999998,Teavaro Stream Mouth,321.3855854249177
-149.7630267,-17.51072251,Lag_71,-149.7692357,-17.508897609999998,Teavaro Stream Mouth,689.7512107873325
-149.7643641,-17.52172509,Lag_72,-149.7692357,-17.508897609999998,Teavaro Stream Mouth,1518.714089129368
-149.7642064,-17.51638885,Lag_73,-149.7692357,-17.508897609999998,Teavaro Stream Mouth,990.19398189569
-149.7609331,-17.50532775,Lag_74,-149.7692357,-17.508897609999998,Teavaro Stream Mouth,966.8720800918346
-149.7645343,-17.50326782,Lag_75,-149.7692357,-17.508897609999998,Teavaro Stream Mouth,801.1732306035042
-149.7627215,-17.50094125,Lag_76,-149.7692357,-17.508897609999998,Teavaro Stream Mouth,1123.7163759988307
-149.7597522,-17.50258469,Lag_77,-149.7692357,-17.508897609999998,Teavaro Stream Mouth,1227.8096800669543
-149.7576461,-17.50024941,Lag_78,-149.7692357,-17.508897609999998,Teavaro Stream Mouth,1562.2785233636878
-149.8210349,-17.60410798,Lag_79,-149.8071371,-17.58631437,Maatea Stream Mouth,2469.46572494916
-149.8545238,-17.58234638,Lag_8,-149.8532881,-17.57848833,Vaiane Stream Mouth,449.0496250102834
-149.8743451,-17.56380737,Lag_80,-149.873026,-17.56010519,Haapiti Stream Mouth,435.2540944280902
-149.8775593,-17.56509583,Lag_81,-149.873026,-17.56010519,Haapiti Stream Mouth,734.9288139741187
-149.8785377,-17.56890935,Lag_82,-149.873026,-17.56010519,Haapiti Stream Mouth,1141.3665378716832
-149.8830503,-17.56706047,Lag_83,-149.873026,-17.56010519,Haapiti Stream Mouth,1315.7947351462813
-149.8865255,-17.56043784,Lag_84,-149.873026,-17.56010519,Haapiti Stream Mouth,1433.2075834379527
-149.8812157,-17.56350797,Lag_85,-149.873026,-17.56010519,Haapiti Stream Mouth,948.1368720997284
-149.8826298,-17.55850204,Lag_86,-149.873026,-17.56010519,Haapiti Stream Mouth,1034.7813094638962
-149.8788434,-17.55897637,Lag_87,-149.873026,-17.56010519,Haapiti Stream Mouth,630.0725919366492
-149.8766332,-17.56132901,Lag_88,-149.873026,-17.56010519,Haapiti Stream Mouth,406.3560813858016
-149.8855922,-17.55473723,Lag_89,-149.873026,-17.56010519,Haapiti Stream Mouth,1461.4459317332744
-149.8740018,-17.57452698,Lag_9,-149.873026,-17.56010519,Haapiti Stream Mouth,1608.7629578237186
-149.8879232,-17.55573928,Lag_90,-149.873026,-17.56010519,Haapiti Stream Mouth,1654.1019488028828
-149.8905109,-17.55741642,Lag_91,-149.873026,-17.56010519,Haapiti Stream Mouth,1879.7064405987749
-149.897047,-17.55032935,Lag_92,-149.9039516,-17.53500803,Nuurua Stream Mouth,1856.3510065115393
-149.8911702,-17.5463777,Lag_93,-149.9039516,-17.53500803,Nuurua Stream Mouth,1855.3821096748275
-149.8949618,-17.54780925,Lag_94,-149.9039516,-17.53500803,Nuurua Stream Mouth,1714.9939122022197
-149.9022286,-17.54493568,Lag_95,-149.9039516,-17.53500803,Nuurua Stream Mouth,1120.1713146853872
-149.9044886,-17.53815631,Lag_96,-149.9039516,-17.53500803,Nuurua Stream Mouth,355.0699985086122
-149.9067632,-17.54097733,Lag_97,-149.9039516,-17.53500803,Nuurua Stream Mouth,728.4397171586816
-149.8985127,-17.54181552,Lag_98,-149.9039516,-17.53500803,Nuurua Stream Mouth,952.6586373034005
-149.905488,-17.53413,Lag_99,-149.9039516,-17.53500803,Nuurua Stream Mouth,190.13147394461424
